id,sel_interval,period,step,vol_btc,vol_usd,bal_btc,bal_usd,old_ord,max_usage,margin,per,current_price,start_sum,total_sum,bal_margin,duration
2017_46*w*step7oldord1margin0.05per30,2017_46*w*,1440,7,0.00213,12.50,0.04266,250.00,1,70,0.050,30,8016.58,591.99,579.16,-2.22,0:00:53.630282
2017_47*w*step3oldord1margin0.025per30,2017_47*w*,1440,3,0.00156,12.50,0.03115,250.00,1,70,0.025,30,9271.06,538.79,553.80,2.71,0:00:49.928194
2017_48*w*step1oldord5margin0.025per30,2017_48*w*,1440,1,0.00135,12.50,0.02695,250.00,5,70,0.025,30,11250.00,553.19,604.52,8.49,0:01:05.511839
2017_49*w*step7oldord1margin0.05per30,2017_49*w*,1440,7,0.00111,12.50,0.02229,250.00,1,70,0.050,30,14691.00,577.46,571.78,-0.99,0:00:38.825151
2017_50*w*step1oldord1margin0.025per30,2017_50*w*,1440,1,0.00085,12.50,0.01700,250.00,1,70,0.025,30,18953.00,572.20,589.92,3.00,0:00:58.741675
2017_51*w*step5oldord1margin0.05per30,2017_51*w*,1440,5,0.00066,12.50,0.01321,250.00,1,70,0.050,30,14157.87,437.03,432.16,-1.13,0:00:52.924960
2017_52*w*step1oldord5margin0.05per30,2017_52*w*,1440,1,0.01294,12.50,0.25871,250.00,5,70,0.050,30,13880.00,3840.89,4273.87,10.13,0:01:07.565939
2018_01*w*step1oldord5margin0.05per30,2018_01*w*,1440,1,0.00090,12.50,0.01803,250.00,5,70,0.050,30,3693.30,316.59,537.97,41.15,0:01:36.574743
2018_02*w*step1oldord1margin0.005per30,2018_02*w*,1440,1,0.00077,12.50,0.01549,250.00,1,70,0.005,30,13647.99,461.41,477.88,3.45,0:01:04.173594
2018_03*w*step3oldord5margin0.05per30,2018_03*w*,1440,3,0.00092,12.50,0.01834,250.00,5,70,0.050,30,11558.87,461.99,479.31,3.61,0:01:01.696554
2018_04*w*step1oldord1margin0.025per30,2018_04*w*,1440,1,0.00108,12.50,0.02163,250.00,1,70,0.025,30,11685.58,502.76,543.92,7.57,0:01:07.219445
2018_05*w*step7oldord1margin0.01per30,2018_05*w*,1440,7,0.00107,12.50,0.02138,250.00,1,70,0.010,30,8191.00,425.12,410.83,-3.48,0:00:48.904298
2018_06*w*step1oldord1margin0.05per30,2018_06*w*,1440,1,0.00153,12.50,0.03056,250.00,1,70,0.050,30,8067.00,496.53,539.95,8.04,0:01:20.710914
2018_07*w*step7oldord1margin0.05per30,2018_07*w*,1440,7,0.00154,12.50,0.03089,250.00,1,70,0.050,30,10421.06,571.91,568.11,-0.67,0:00:38.057128
2018_08*w*step1oldord5margin0.05per30,2018_08*w*,1440,1,0.00120,12.50,0.02399,250.00,5,70,0.050,30,9590.04,480.07,493.53,2.73,0:01:19.875776
2018_09*w*step7oldord5margin0.02per30,2018_09*w*,1440,7,0.00130,12.50,0.02605,250.00,5,70,0.020,30,11463.27,548.62,545.33,-0.60,0:00:53.862332
2018_10*w*step5oldord1margin0.05per30,2018_10*w*,1440,5,0.00109,12.50,0.02178,250.00,1,70,0.050,30,9535.04,457.67,457.95,0.06,0:00:50.295408
2018_11*w*step5oldord5margin0.02per30,2018_11*w*,1440,5,0.00131,12.50,0.02620,250.00,5,70,0.020,30,8188.24,464.53,469.50,1.06,0:00:58.961816
2018_12*w*step1oldord5margin0.005per30,2018_12*w*,1440,1,0.00152,12.50,0.03033,250.00,5,70,0.005,30,8453.90,506.41,518.96,2.42,0:01:09.751738
2018_13*w*step7oldord1margin0.025per30,2018_13*w*,1440,7,0.00148,12.50,0.02957,250.00,1,70,0.025,30,6813.52,451.48,448.58,-0.65,0:00:51.390387
2018_14*w*step1oldord5margin0.05per30,2018_14*w*,1440,1,0.00183,12.50,0.03666,250.00,5,70,0.050,30,7027.26,507.62,528.16,3.89,0:01:16.233234
2018_15*w*step7oldord1margin0.05per30,2018_15*w*,1440,7,0.00178,12.50,0.03558,250.00,1,70,0.050,30,8354.22,547.24,543.74,-0.64,0:00:39.390797
2018_16*w*step7oldord1margin0.02per30,2018_16*w*,1440,7,0.00150,12.50,0.02993,250.00,1,70,0.020,30,8789.96,513.08,515.81,0.53,0:00:52.202536
2018_17*w*step1oldord5margin0.01per30,2018_17*w*,1440,1,0.00142,12.50,0.02842,250.00,5,70,0.010,30,9393.99,516.98,539.16,4.11,0:00:59.401965
2018_18*w*step1oldord5margin0.01per30,2018_18*w*,1440,1,0.00133,12.50,0.02659,250.00,5,70,0.010,30,9623.54,505.89,517.54,2.25,0:01:06.767523
2018_19*w*step1oldord1margin0.05per30,2018_19*w*,1440,1,0.00130,12.50,0.02600,250.00,1,70,0.050,30,8696.58,476.11,491.05,3.04,0:01:11.420437
2018_20*w*step1oldord5margin0.01per30,2018_20*w*,1440,1,0.00144,12.50,0.02876,250.00,5,70,0.010,30,8518.48,494.99,512.08,3.34,0:01:22.311848
2018_21*w*step7oldord1margin0.05per30,2018_21*w*,1440,7,0.00147,12.50,0.02934,250.00,1,70,0.050,30,7347.39,465.57,462.30,-0.71,0:00:42.997709
2018_22*w*step1oldord1margin0.02per30,2018_22*w*,1440,1,0.00170,12.50,0.03404,250.00,1,70,0.020,30,7703.67,512.23,534.69,4.20,0:01:19.058691
2018_23*w*step5oldord1margin0.005per30,2018_23*w*,1440,5,0.00162,12.50,0.03243,250.00,1,70,0.005,30,6781.17,469.91,467.60,-0.49,0:00:54.670785
2018_24*w*step1oldord1margin0.005per30,2018_24*w*,1440,1,0.00184,12.50,0.03690,250.00,1,70,0.005,30,6453.41,488.13,498.68,2.12,0:01:03.399663
2018_25*w*step1oldord5margin0.05per30,2018_25*w*,1440,1,0.00194,12.50,0.03873,250.00,5,70,0.050,30,6153.40,488.32,505.90,3.47,0:01:05.203174
2018_26*w*step1oldord5margin0.05per30,2018_26*w*,1440,1,0.00203,12.50,0.04066,250.00,5,70,0.050,30,6349.99,508.19,521.79,2.61,0:01:20.710095
2018_27*w*step3oldord5margin0.025per30,2018_27*w*,1440,3,0.00197,12.50,0.03940,250.00,5,70,0.025,30,6706.60,514.24,522.11,1.51,0:00:54.833722
2018_28*w*step3oldord5margin0.01per30,2018_28*w*,1440,3,0.00186,12.50,0.03727,250.00,5,70,0.010,30,6349.30,486.64,489.33,0.55,0:01:13.966118
2018_29*w*step7oldord5margin0.025per30,2018_29*w*,1440,7,0.00197,12.50,0.03936,250.00,5,70,0.025,30,7396.60,541.13,541.28,0.03,0:00:43.166395
2018_30*w*step5oldord1margin0.005per30,2018_30*w*,1440,5,0.00169,12.50,0.03383,250.00,1,70,0.005,30,8216.74,527.97,542.47,2.67,0:00:48.001918
2018_31*w*step7oldord1margin0.05per30,2018_31*w*,1440,7,0.00152,12.50,0.03043,250.00,1,70,0.050,30,7032.61,464.00,460.61,-0.74,0:00:41.488910
2018_32*w*step1oldord1margin0.005per30,2018_32*w*,1440,1,0.00178,12.50,0.03558,250.00,1,70,0.005,30,6310.82,474.54,486.82,2.52,0:00:53.798671
